object_type,schema,object_name,path,lines,module
trigger,progress_tracking,module_progress,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/progress_tracking/tables/01-module_progress.sql,232,PRG
index,progress_tracking,learning_sessions,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/progress_tracking/tables/02-learning_sessions.sql,214,PRG
trigger,progress_tracking,exercise_attempts,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/progress_tracking/tables/03-exercise_attempts.sql,175,PRG
trigger,progress_tracking,exercise_submissions,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/progress_tracking/tables/04-exercise_submissions.sql,201,PRG
index,progress_tracking,scheduled_missions,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/progress_tracking/tables/05-scheduled_missions.sql,115,PRG
trigger,progress_tracking,trg_update_user_stats_on_exercise,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/progress_tracking/triggers/21-trg_update_user_stats_on_exercise.sql,15,PRG
trigger,progress_tracking,exercise_submissions_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/progress_tracking/triggers/22-exercise_submissions_updated_at.sql,15,PRG
trigger,progress_tracking,trg_module_progress_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/progress_tracking/triggers/23-trg_module_progress_updated_at.sql,15,PRG
view,progress_tracking,user_progress_summary,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/progress_tracking/views/user_progress_summary.sql,30,PRG
enum,public,aggregation_period,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/enums/aggregation_period.sql,13,PUB
enum,public,attempt_result,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/enums/attempt_result.sql,12,PUB
enum,public,content_type,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/enums/content_type.sql,14,PUB
enum,public,metric_type,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/enums/metric_type.sql,15,PUB
enum,public,social_event_type,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/enums/social_event_type.sql,13,PUB
function,public,cleanup_old_system_logs,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/functions/01-cleanup_old_system_logs.sql,52,PUB
function,public,cleanup_old_user_activity,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/functions/02-cleanup_old_user_activity.sql,52,PUB
function,public,is_feature_enabled,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/functions/03-is_feature_enabled.sql,117,PUB
function,public,log_system_event,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/functions/04-log_system_event.sql,70,PUB
function,public,send_notification,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/functions/05-send_notification.sql,109,PUB
function,public,update_feature_flag,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/functions/06-update_feature_flag.sql,117,PUB
function,public,validate_date_range,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/functions/07-validate_date_range.sql,93,PUB
index,public,idx_user_achievements_completed,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/indexes/239-idx_user_achievements_completed.sql,14,PUB
index,public,idx_user_achievements_unclaimed,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/indexes/240-idx_user_achievements_unclaimed.sql,14,PUB
index,public,idx_user_achievements_user_completed,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/indexes/241-idx_user_achievements_user_completed.sql,14,PUB
index,public,idx_user_achievements_user_id,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/indexes/242-idx_user_achievements_user_id.sql,14,PUB
index,public,idx_user_activity_created_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/indexes/243-idx_user_activity_created_at.sql,14,PUB
index,public,idx_user_activity_metadata,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/indexes/244-idx_user_activity_metadata.sql,14,PUB
index,public,idx_user_activity_type,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/indexes/245-idx_user_activity_type.sql,14,PUB
index,public,idx_user_activity_user_id,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/indexes/246-idx_user_activity_user_id.sql,14,PUB
index,public,idx_user_ranks_current,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/public/indexes/247-idx_user_ranks_current.sql,14,PUB
