Schema,Tipo_Objeto,Nombre,Prioridad,Tamano_Bytes,Lineas,Dependencias,Ruta_Origen,Ruta_Destino
"auth_management","TABLE","auth_management.user_sessions","CRITICA",2771,60,10,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/auth_management/tables/06-user_sessions.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/table/06-user_sessions.sql"
"auth_management","TABLE","auth_management.email_verification_tokens","CRITICA",1934,43,8,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/auth_management/tables/07-email_verification_tokens.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/table/07-email_verification_tokens.sql"
"auth_management","FUNCTION","auth_management.get_user_role","CRITICA",1389,47,4,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/auth_management/functions/07-get_user_role.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/function/07-get_user_role.sql"
"auth_management","FUNCTION","auth_management.assign_role_to_user","CRITICA",2488,100,10,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/auth_management/functions/08-assign_role_to_user.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/function/08-assign_role_to_user.sql"
"auth_management","TABLE","auth_management.password_reset_tokens","CRITICA",1942,44,8,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/auth_management/tables/08-password_reset_tokens.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/table/08-password_reset_tokens.sql"
"auth_management","FUNCTION","auth_management.revoke_role_from_user","CRITICA",2312,81,9,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/auth_management/functions/09-revoke_role_from_user.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/function/09-revoke_role_from_user.sql"
"auth_management","TABLE","auth_management.security_events","CRITICA",2283,48,10,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/auth_management/tables/09-security_events.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/table/09-security_events.sql"
"gamification_system","FUNCTION","gamification_system.award_ml_coins","CRITICA",3164,90,9,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/gamification_system/functions/01-award_ml_coins.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/function/01-award_ml_coins.sql"
"gamification_system","FUNCTION","gamification_system.calculate_level_from_xp","CRITICA",659,20,3,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/gamification_system/functions/02-calculate_level_from_xp.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/function/02-calculate_level_from_xp.sql"
"gamification_system","FUNCTION","gamification_system.calculate_xp_for_next_level","CRITICA",775,20,2,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/gamification_system/functions/03-calculate_xp_for_next_level.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/function/03-calculate_xp_for_next_level.sql"
