Schema,Tabla,Frecuencia,Num Documentos
exception,getResponse,1,1
exception,getStatus,1,1
host,switchToHttp,1,1
app,useGlobalFilters,1,1
usersService,update,1,1
app,listen,1,1
SwaggerModule,createDocument,1,1
requiredRoles,includes,1,1
app,useGlobalGuards,1,1
NestFactory,create,1,1
usersService,findAll,1,1
app,setGlobalPrefix,1,1
response,status,1,1
ctx,getResponse,1,1
app,useGlobalPipes,1,1
super,canActivate,1,1
SwaggerModule,setup,1,1
ctx,getRequest,1,1
ctx,switchToHttp,1,1
name,replace,1,1
pathname,split,1,1
pathnames,slice,1,1
pathnames,map,1,1
window,scrollTo,1,1
expiresAt,getDate,1,1
this,validateRefreshToken,1,1
authService,refreshTokens,1,1
request,use,1,1
axios,create,1,1
authService,logout,1,1
authService,getCurrentUser,1,1
this,generateRefreshToken,1,1
response,use,1,1
this,revokeRefreshToken,1,1
refreshTokensRepository,save,1,1
expiresAt,setDate,1,1
window,removeEventListener,1,1
window,addEventListener,1,1
this,generateAccessToken,1,1
jwtService,sign,1,1
Promise,reject,1,1
LoginForm,tsx,1,1
RegisterForm,tsx,1,1
ForgotPasswordForm,tsx,1,1
ResetPasswordForm,tsx,1,1
teacherService,getDashboard,1,1
this,getClassroomsSummary,1,1
classrooms,reduce,1,1
this,getRecentActivitiesAcrossClassrooms,1,1
classroomService,removeClassroom,1,1
classroomService,findAllByTeacher,1,1
classroomRepository,count,1,1
classroomService,updateClassroom,1,1
classroomService,findOneByTeacher,1,1
entities,map,1,1
this,findOneByTeacher,1,1
classroomRepository,create,1,1
classroomRepository,remove,1,1
classroomService,createClassroom,1,1
moduleService,getCatalog,1,1
query,where,1,1
this,getStudentsInClassroom,1,1
modules,some,1,1
classroomService,removeModule,1,1
moduleRepository,createQueryBuilder,1,1
this,getModuleStats,1,1
modules,push,1,1
moduleRepository,findOne,1,1
modules,filter,1,1
classroomService,assignModule,1,1
groupService,getGroups,1,1
studentIds,filter,1,1
studentRepository,findByIds,1,1
groupService,assignStudents,1,1
groupService,updateGroup,1,1
groupRepository,create,1,1
groupRepository,findOne,1,1
groupService,deleteGroup,1,1
studentsToAdd,filter,1,1
groupRepository,save,1,1
groupService,createGroup,1,1
this,getRandomColor,1,1
validStudentIds,includes,1,1
existingIds,includes,1,1
groupRepository,find,1,1
students,slice,1,1
groups,map,1,1
classroomStudents,map,1,1
groupService,removeStudentFromGroup,1,1
settingsRepository,save,1,1
classroomService,updateSettings,1,1
classroomService,getSettings,1,1
settingsRepository,create,1,1
this,getModulesInProgress,1,1
this,getActiveStudentsToday,1,1
this,getModuleAverageProgress,1,1
teacherApi,getClassroomActivity,1,1
this,getStudentCount,1,1
classroomService,getActivitySummary,1,1
this,getDefaultAvatar,1,1
this,generateTemporaryPassword,1,1
studentRepository,create,1,1
query,getOne,1,1
studentRepository,save,1,1
classroomService,removeStudentFromClassroom,1,1
students,some,1,1
name,split,1,1
classroomService,addStudentToClassroom,1,1
classroomService,createAndAddStudent,1,1
userRepository,findOne,1,1
bcrypt,hash,1,1
this,addStudentToClassroom,1,1
studentService,searchStudents,1,1
name,toLowerCase,1,1
studentRepository,findOne,1,1
clipboard,writeText,1,1
classroomService,getClassroomStudents,1,1
userRepository,save,1,1
this,generateUsername,1,1
example,com,1,1
userRepository,create,1,1
results,push,1,1
unlocked,map,1,1
AchievementService,checkAchievements,1,1
achievementService,findAllActive,1,1
this,getUserAchievements,1,1
rarity,toUpperCase,1,1
gamification_system,fn_achievement_unlocked_notification,1,1
achievementRepo,save,1,1
this,buildGallery,1,1
achievementService,checkMultipleAchievements,1,1
achievementRepo,create,1,1
achievementService,createAchievement,1,1
achievementRepo,findOne,1,1
achievementService,hasAchievement,1,1
unlockedPercentage,toFixed,1,1
this,checkAndUnlock,1,1
achievementRepo,query,1,1
achievementService,getProgress,1,1
gamification_system,fn_check_rank_promotion,1,1
this,hasAchievement,1,1
achievementRepo,count,1,1
achievementService,checkAndUnlock,1,1
userAchievementRepo,findOne,1,1
userAchievementRepo,find,1,1
locked,map,1,1
newRank,toUpperCase,1,1
achievementRepo,find,1,1
achievementService,getUserAchievements,1,1
rankService,getRankDistribution,1,1
rankHistoryRepo,find,1,1
gamification_system,get_rank_benefits,1,1
rankService,getRankBenefits,1,1
rankApi,getMyProgress,1,1
xp_at_promotion,toLocaleString,1,1
gamification_system,fn_check_rank_promotion_trigger,1,1
result,forEach,1,1
history,map,1,1
rankApi,getMyHistory,1,1
rankService,getRankHistory,1,1
